'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility
check,TFO,2026-05-18,2026-06,42.0,E,M,2026-05-27,0.43,0.0,2950,0,49.43077170461917,1.931,P,0.9243605763021391,0.8018092297786401
check,TFO,2026-05-18,2026-06,43.0,E,M,2026-05-27,0.57,0.0,300,0,49.43077170461917,1.931,P,0.910050011687976,0.8220071440884635
check,TFO,2026-05-18,2026-06,44.0,E,M,2026-05-27,0.4083333333333333,0.0,150,0,49.43077170461917,1.931,P,0.718465281364868,0.8412880390018026
check,TFO,2026-05-18,2026-06,45.0,E,M,2026-05-27,0.8370157068062828,6.0,4775,750,49.43077170461917,1.931,P,0.828253418901909,0.8597304193196492
check,TFO,2026-05-18,2026-06,46.0,E,M,2026-05-27,1.27,0.0,150,0,49.43077170461917,1.931,P,0.8867016119850136,0.8774029590269833
check,TFO,2026-05-18,2026-06,47.0,E,M,2026-05-27,0.9612857142857143,0.0,3500,0,49.43077170461917,1.931,P,0.6453706905455101,0.8943660985756473
check,TFO,2026-05-18,2026-06,48.0,E,M,2026-05-27,1.211698113207547,4.5,2650,15,49.43077170461917,1.931,P,0.6062613514736387,0.91067332885477
check,TFO,2026-05-18,2026-06,49.0,E,M,2026-05-27,2.49,0.0,425,0,49.43077170461917,1.931,P,0.8805264341933672,0.9263722325631496
check,TFO,2026-05-18,2026-06,50.0,E,M,2026-05-27,2.675,2.825,2150,1200,49.43077170461917,1.931,P,0.7690881089126889,0.9415053359569102
check,TFO,2026-05-18,2026-06,51.0,E,M,2026-05-27,2.6981981981981984,2.7472072072072073,1110,1110,49.43077170461917,1.931,PC,,0.9561108110207481
check,TFO,2026-05-18,2026-06,52.0,E,M,2026-05-27,0.0,2.20688679245283,0,265,49.43077170461917,1.931,C,1.0487062372862344,0.9702230586204625
check,TFO,2026-05-18,2026-06,53.0,E,M,2026-05-27,0.0,1.7522727272727272,0,3300,49.43077170461917,1.931,C,1.0052337633801112,0.983873196165371
check,TFO,2026-05-18,2026-06,54.0,E,M,2026-05-27,0.0,1.455,0,75,49.43077170461917,1.931,C,0.9996637975836631,0.997089468056777
check,TFO,2026-05-18,2026-06,55.0,E,M,2026-05-27,0.0,1.2981744421906694,0,2465,49.43077170461917,1.931,C,1.0326373766744978,1.009897593238861
check,TFO,2026-05-18,2026-06,57.0,E,M,2026-05-27,0.0,0.925,0,3000,49.43077170461917,1.931,C,1.0433495513237103,1.0343813851189918
check,TFO,2026-05-18,2026-06,58.0,E,M,2026-05-27,0.0,0.8,0,150,49.43077170461917,1.931,C,1.0591788904181798,1.0460983202692684
check,TFO,2026-05-18,2026-06,60.0,E,M,2026-05-27,0.0,0.644264705882353,0,1700,49.43077170461917,1.931,C,1.1137144392078282,1.0685733594865992
check,TFO,2026-05-18,2026-06,65.0,E,M,2026-05-27,0.0,0.28,0,415,49.43077170461917,1.931,C,1.141564870897411,1.1198689322901552
check,TFO,2026-05-18,2026-06,70.0,E,M,2026-05-27,0.0,0.19,0,225,49.43077170461917,1.931,C,1.2671425935862324,1.165368914101744
check,TFO,2026-05-18,2026-06,80.0,E,M,2026-05-27,0.0,0.15,0,300,49.43077170461917,1.931,C,1.572177162821089,1.2431882500923748
check,TFO,2026-05-18,2026-07,30.0,E,M,2026-06-26,0.13,0.0,300,0,49.55237051792829,1.931,P,0.8324525315590076,0.6839613852474732
check,TFO,2026-05-18,2026-07,33.0,E,M,2026-06-26,0.215,0.0,10,0,49.55237051792829,1.931,P,0.7649856127661557,0.7253411947476887
check,TFO,2026-05-18,2026-07,34.0,E,M,2026-06-26,0.25,0.0,150,0,49.55237051792829,1.931,P,0.7412280954795465,0.7378468698842328
check,TFO,2026-05-18,2026-07,35.0,E,M,2026-06-26,0.36500000000000005,0.0,1000,0,49.55237051792829,1.931,P,0.7575217301030691,0.7497986206309608
check,TFO,2026-05-18,2026-07,37.0,E,M,2026-06-26,0.48,0.0,100,0,49.55237051792829,1.931,P,0.7094986442819589,0.7722127111812733
check,TFO,2026-05-18,2026-07,38.0,E,M,2026-06-26,0.65,0.0,1635,0,49.55237051792829,1.931,P,0.7209656091739759,0.7827493682005097
check,TFO,2026-05-18,2026-07,40.0,E,M,2026-06-26,1.1723880597014924,0.0,5025,0,49.55237051792829,1.931,P,0.7619235135182336,0.80263890911179
