'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility,,,ts_event,20.04.26,,,
check,TFO,21.04.26,2026-10,50,E,M,25.09.26,0,4.75,0,50,42.87404846,1.932,C,0.637706158,0.867013272,,,,,,,
check,TFO,21.04.26,2026-10,60,E,M,25.09.26,0,3.275,0,375,42.87404846,1.932,C,0.708990068,0.894742659,,,,,,,
check,TFO,21.04.26,2026-12,70,E,M,26.11.26,0,3.85,0,225,42.44390345,1.932,C,0.787062431,0.863844063,,,,,,,
check,TFO,22.04.26,2026-05,35,E,M,24.04.26,0.05,0,1000,0,44.14145454,1.931,P,1.635140393,1.568515049,,,,,,,
check,TFO,22.04.26,2026-05,36,E,M,24.04.26,0.03,0,1225,0,44.14145454,1.931,P,1.348879708,1.623691502,,,,,,,
check,TFO,22.04.26,2026-05,37,E,M,24.04.26,0.27,0,90,0,44.14145454,1.931,P,1.87503242,1.675690796,,,,,,,
check,TFO,22.04.26,2026-05,38,E,M,24.04.26,0.1575,4.865,1900,50,44.14145454,1.931,P,1.440157861,1.724856857,,,,,,,
check,TFO,22.04.26,2026-05,40,E,M,24.04.26,0.201895833,3.87,7200,6395,44.14145454,1.931,P,1.124260824,1.81580626,,,,,,,
check,TFO,22.04.26,2026-05,41,E,M,24.04.26,0.419169329,2.2,1565,25,44.14145454,1.931,P,1.189671635,1.858048554,,,,,,,
check,TFO,22.04.26,2026-05,42,E,M,24.04.26,1.2,2.45,1010,200,44.14145454,1.931,P,1.653774471,1.898390107,,,,,,,
check,TFO,22.04.26,2026-05,43,E,M,24.04.26,0.907594937,1.335,1975,400,44.14145454,1.931,P,1.094267949,1.936990883,,,,,,,
check,TFO,22.04.26,2026-05,44,E,M,24.04.26,2.5,1.47,1000,300,44.14145454,1.931,P,1.979103187,1.973991211,,,,,,,
