ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,Column1,,,AAA,,,
2025-10-01T00:00:00.000000000Z,35,58,107999300,0.35,0.38,0.35,0.38,1300,TFO FMZ0025_OMCE0000040002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005381,0.575,0.575,0.575,0.575,200,TFO  73  31005381,TFO  73,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005825,0.74,0.74,0.74,0.74,70,TFO  77  31005825,TFO  77,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108279403,0.15,0.15,0.15,0.15,1400,TFO FMZ0025_OMPE0000025002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,108599678,0.7,0.78,0.695,0.78,60,TFO FMX0025_OMCE0000032002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108784163,0.025,0.025,0.025,0.025,100,TFO FMX0025_OMPE0000024002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108019792,0.7,0.89,0.7,0.71,4350,TFO FMF0026_OMCE0000040002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108215154,2.2,2.2,2.2,2.2,500,TFO FMZ0025_OMCE0000030002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108217017,1.88,1.88,1.8,1.8,450,TFO FQF0026.H0026_OQPE0000030002122,TFO FQF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108280829,,,,,2000,TFO FMN0026_OMPE0000027002062626,TFO FMN,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108280825,,,,,540,TFO FMN0026_OMPE0000025002062626,TFO FMN,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005680,1.31,1.31,1.31,1.31,350,TFO  73  31005680,TFO  73,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108019796,0.89,0.89,0.89,0.89,3100,TFO FMG0026_OMCE0000040002012726,TFO FMG,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108585408,1.18,1.25,1.18,1.25,1225,TFO FMZ0025_OMCE0000033002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005375,0.86,0.86,0.86,0.86,600,TFO  56  31005375,TFO  56,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108476880,,,,,100,TFO FMK0026_OMCE0000045002042426,TFO FMK,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108685459,0.11,0.11,0.11,0.11,1000,TFO FMX0025_OMPE0000028002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005827,0.07,0.07,0.07,0.07,100,TFO  75  31005827,TFO  75,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005482,0.59,0.59,0.59,0.59,100,TFO  73  31005482,TFO  73,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005445,0.29,0.29,0.29,0.29,900,TFO  50  31005445,TFO  50,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005533,0.92,0.92,0.92,0.92,200,TFO  65  31005533,TFO  65,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108482594,2.44,2.44,2.44,2.44,100,TFO FYF0026.Z0026_OYCE0000035002122,TFO FYF,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005446,1.88,1.88,1.88,1.88,100,TFO  56  31005446,TFO  56,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108338592,,,,,1120,TFO FMQ0026_OMPE0000030002072726,TFO FMQ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108588119,0.385,0.385,0.385,0.385,1700,TFO FQF0026.H0026_OQPE0000025002122,TFO FQF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108482158,,,,,25,TFO FMV0026_OMCE0000045002092526,TFO FMV,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108019596,,,,,700,TFO FMH0026_OMCE0000035002022426,TFO FMH,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108159081,,,,,1120,TFO FMK0026_OMPE0000030002042426,TFO FMK,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005409,1.73,1.73,1.73,1.73,5,TFO  55  31005409,TFO  55,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108565849,1.675,1.675,1.675,1.675,200,TFO FQN0026.U0026_OQPE0000025002062,TFO FQN,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,108215157,0.915,0.915,0.915,0.915,4000,TFO FMF0026_OMPE0000030002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108481198,,,,,100,TFO FMX0026_OMCE0000035002102726,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108585887,,,,,1700,TFO FMH0026_OMPE0000025002022426,TFO FMH,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005808,1.59,1.59,1.59,1.59,1000,TFO  69  31005808,TFO  69,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108476858,,,,,300,TFO FMU0026_OMCE0000045002082626,TFO FMU,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108476868,,,,,300,TFO FMQ0026_OMCE0000045002072726,TFO FMQ,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108234386,,,,,1000,TFO FMM0026_OMPE0000024002052726,TFO FMM,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108685165,0.3,0.43,0.27,0.27,1400,TFO FMX0025_OMPE0000029002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108585885,,,,,1700,TFO FMG0026_OMPE0000025002012726,TFO FMG,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005431,0.025,0.025,0.025,0.025,250,TFO  72  31005431,TFO  72,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108086380,1.075,1.08,1.025,1.08,3050,TFO FQF0026.H0026_OQCE0000040002122,TFO FQF,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005627,1.84,1.84,1.84,1.84,300,TFO  55  31005627,TFO  55,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005774,1.22,1.22,1.22,1.22,300,TFO  50  31005774,TFO  50,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005423,1.4,1.4,1.4,1.4,500,TFO  58  31005423,TFO  58,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108599678,0.7,0.75,0.65,0.67,1950,TFO FMX0025_OMCE0000032002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,108054066,0.31,0.345,0.265,0.345,340,TFO FMX0025_OMCE0000035002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108475347,,,,,2000,TFO FMU0026_OMPE0000027002082626,TFO FMU,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108481950,,,,,25,TFO FMH0027_OMCE0000045002022427,TFO FMH,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108564117,1.505,1.505,1.48,1.48,340,TFO FSJ0026.U0026_OSPE0000025002032,TFO FSJ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005378,0.86,0.86,0.86,0.86,200,TFO  56  31005378,TFO  56,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108280835,,,,,1120,TFO FMN0026_OMPE0000030002062626,TFO FMN,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108595533,0.86,0.86,0.86,0.86,600,TFO FMF0026_OMPE0000029002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,108685459,0.19,0.19,0.19,0.19,50,TFO FMX0025_OMPE0000028002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005472,0.22,0.22,0.22,0.22,200,TFO  50  31005472,TFO  50,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108476848,,,,,100,TFO FMM0026_OMCE0000045002052726,TFO FMM,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108215153,0.625,0.625,0.58,0.58,1385,TFO FMX0025_OMPE0000030002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108338601,,,,,100,TFO FMQ0026_OMCE0000035002072726,TFO FMQ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005649,0.65,0.65,0.65,0.65,400,TFO  77  31005649,TFO  77,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108616900,1,1.35,1,1.33,1600,TFO FMX0025_OMCE0000031002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005588,0.3,0.3,0.3,0.3,1000,TFO  65  31005588,TFO  65,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108398546,,,,,1120,TFO FMU0026_OMPE0000030002082626,TFO FMU,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108585883,,,,,1700,TFO FMF0026_OMPE0000025002122425,TFO FMF,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108643809,,,,,100,TFO FMH0026_OMPE0000027002022426,TFO FMH,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,107999298,0.115,0.12,0.115,0.12,2550,TFO FMX0025_OMCE0000040002102725,TFO FMX,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005822,0.74,0.74,0.74,0.74,50,TFO  77  31005822,TFO  77,,,,,,
2025-10-01T00:00:00.000000000Z,35,58,108068388,1,1,1,1,2075,TFO FMZ0025_OMCE0000034002112625,TFO FMZ,,,,,,
